RecordID,Date,Time,DateTime,Year,Month,Day,DayOfWeek,Hour,Minute,Second
1,2024-01-01,04:23:15,2024-01-01 04:23:15,2024,1,1,Monday,4,23,15
2,2024-01-02,00:14:20,2024-01-02 00:14:20,2024,1,2,Tuesday,0,14,20
3,2024-01-03,21:20:20,2024-01-03 21:20:20,2024,1,3,Wednesday,21,20,20
4,2024-01-04,15:14:46,2024-01-04 15:14:46,2024,1,4,Thursday,15,14,46
5,2024-01-05,01:44:25,2024-01-05 01:44:25,2024,1,5,Friday,1,44,25
6,2024-01-06,22:53:06,2024-01-06 22:53:06,2024,1,6,Saturday,22,53,6
7,2024-01-07,10:19:54,2024-01-07 10:19:54,2024,1,7,Sunday,10,19,54
8,2024-01-08,12:15:31,2024-01-08 12:15:31,2024,1,8,Monday,12,15,31
9,2024-01-09,16:44:23,2024-01-09 16:44:23,2024,1,9,Tuesday,16,44,23
10,2024-01-10,04:27:03,2024-01-10 04:27:03,2024,1,10,Wednesday,4,27,3
11,2024-01-11,11:24:50,2024-01-11 11:24:50,2024,1,11,Thursday,11,24,50
12,2024-01-12,18:40:21,2024-01-12 18:40:21,2024,1,12,Friday,18,40,21
13,2024-01-13,18:00:20,2024-01-13 18:00:20,2024,1,13,Saturday,18,0,20
14,2024-01-14,00:12:49,2024-01-14 00:12:49,2024,1,14,Sunday,0,12,49
15,2024-01-15,16:35:35,2024-01-15 16:35:35,2024,1,15,Monday,16,35,35
16,2024-01-16,17:29:15,2024-01-16 17:29:15,2024,1,16,Tuesday,17,29,15
17,2024-01-17,18:02:05,2024-01-17 18:02:05,2024,1,17,Wednesday,18,2,5
18,2024-01-18,18:52:49,2024-01-18 18:52:49,2024,1,18,Thursday,18,52,49
19,2024-01-19,01:28:31,2024-01-19 01:28:31,2024,1,19,Friday,1,28,31
20,2024-01-20,23:05:04,2024-01-20 23:05:04,2024,1,20,Saturday,23,5,4
21,2024-01-21,14:55:07,2024-01-21 14:55:07,2024,1,21,Sunday,14,55,7
22,2024-01-22,23:41:45,2024-01-22 23:41:45,2024,1,22,Monday,23,41,45
23,2024-01-23,07:58:13,2024-01-23 07:58:13,2024,1,23,Tuesday,7,58,13
24,2024-01-24,19:58:52,2024-01-24 19:58:52,2024,1,24,Wednesday,19,58,52
25,2024-01-25,07:07:38,2024-01-25 07:07:38,2024,1,25,Thursday,7,7,38
26,2024-01-26,23:27:58,2024-01-26 23:27:58,2024,1,26,Friday,23,27,58
27,2024-01-27,05:07:11,2024-01-27 05:07:11,2024,1,27,Saturday,5,7,11
28,2024-01-28,00:45:47,2024-01-28 00:45:47,2024,1,28,Sunday,0,45,47
29,2024-01-29,16:25:50,2024-01-29 16:25:50,2024,1,29,Monday,16,25,50
30,2024-01-30,18:15:25,2024-01-30 18:15:25,2024,1,30,Tuesday,18,15,25
31,2024-01-31,23:30:54,2024-01-31 23:30:54,2024,1,31,Wednesday,23,30,54
32,2024-02-01,09:56:13,2024-02-01 09:56:13,2024,2,1,Thursday,9,56,13
33,2024-02-02,18:43:55,2024-02-02 18:43:55,2024,2,2,Friday,18,43,55
34,2024-02-03,15:48:06,2024-02-03 15:48:06,2024,2,3,Saturday,15,48,6
35,2024-02-04,18:33:23,2024-02-04 18:33:23,2024,2,4,Sunday,18,33,23
36,2024-02-05,08:45:51,2024-02-05 08:45:51,2024,2,5,Monday,8,45,51
37,2024-02-06,03:09:54,2024-02-06 03:09:54,2024,2,6,Tuesday,3,9,54
38,2024-02-07,19:11:32,2024-02-07 19:11:32,2024,2,7,Wednesday,19,11,32
39,2024-02-08,01:04:50,2024-02-08 01:04:50,2024,2,8,Thursday,1,4,50
40,2024-02-09,11:33:26,2024-02-09 11:33:26,2024,2,9,Friday,11,33,26
41,2024-02-10,22:13:58,2024-02-10 22:13:58,2024,2,10,Saturday,22,13,58
42,2024-02-11,02:57:07,2024-02-11 02:57:07,2024,2,11,Sunday,2,57,7
43,2024-02-12,02:26:32,2024-02-12 02:26:32,2024,2,12,Monday,2,26,32
44,2024-02-13,20:32:49,2024-02-13 20:32:49,2024,2,13,Tuesday,20,32,49
45,2024-02-14,11:56:41,2024-02-14 11:56:41,2024,2,14,Wednesday,11,56,41
46,2024-02-15,21:15:52,2024-02-15 21:15:52,2024,2,15,Thursday,21,15,52
47,2024-02-16,06:38:17,2024-02-16 06:38:17,2024,2,16,Friday,6,38,17
48,2024-02-17,18:55:48,2024-02-17 18:55:48,2024,2,17,Saturday,18,55,48
49,2024-02-18,06:31:23,2024-02-18 06:31:23,2024,2,18,Sunday,6,31,23
50,2024-02-19,13:29:15,2024-02-19 13:29:15,2024,2,19,Monday,13,29,15
51,2024-02-20,04:45:59,2024-02-20 04:45:59,2024,2,20,Tuesday,4,45,59
52,2024-02-21,22:14:37,2024-02-21 22:14:37,2024,2,21,Wednesday,22,14,37
53,2024-02-22,09:58:40,2024-02-22 09:58:40,2024,2,22,Thursday,9,58,40
54,2024-02-23,18:38:41,2024-02-23 18:38:41,2024,2,23,Friday,18,38,41
55,2024-02-24,19:17:59,2024-02-24 19:17:59,2024,2,24,Saturday,19,17,59
56,2024-02-25,05:24:17,2024-02-25 05:24:17,2024,2,25,Sunday,5,24,17
57,2024-02-26,18:29:17,2024-02-26 18:29:17,2024,2,26,Monday,18,29,17
58,2024-02-27,21:26:29,2024-02-27 21:26:29,2024,2,27,Tuesday,21,26,29
59,2024-02-28,21:55:53,2024-02-28 21:55:53,2024,2,28,Wednesday,21,55,53
60,2024-02-29,14:43:15,2024-02-29 14:43:15,2024,2,29,Thursday,14,43,15
61,2024-03-01,11:19:17,2024-03-01 11:19:17,2024,3,1,Friday,11,19,17
62,2024-03-02,02:41:32,2024-03-02 02:41:32,2024,3,2,Saturday,2,41,32
63,2024-03-03,12:42:38,2024-03-03 12:42:38,2024,3,3,Sunday,12,42,38
64,2024-03-04,20:06:49,2024-03-04 20:06:49,2024,3,4,Monday,20,6,49
65,2024-03-05,19:46:51,2024-03-05 19:46:51,2024,3,5,Tuesday,19,46,51
66,2024-03-06,18:14:57,2024-03-06 18:14:57,2024,3,6,Wednesday,18,14,57
67,2024-03-07,10:17:45,2024-03-07 10:17:45,2024,3,7,Thursday,10,17,45
68,2024-03-08,09:03:26,2024-03-08 09:03:26,2024,3,8,Friday,9,3,26
69,2024-03-09,03:12:14,2024-03-09 03:12:14,2024,3,9,Saturday,3,12,14
70,2024-03-10,11:13:17,2024-03-10 11:13:17,2024,3,10,Sunday,11,13,17
71,2024-03-11,00:16:56,2024-03-11 00:16:56,2024,3,11,Monday,0,16,56
72,2024-03-12,15:26:31,2024-03-12 15:26:31,2024,3,12,Tuesday,15,26,31
73,2024-03-13,06:27:27,2024-03-13 06:27:27,2024,3,13,Wednesday,6,27,27
74,2024-03-14,06:45:00,2024-03-14 06:45:00,2024,3,14,Thursday,6,45,0
75,2024-03-15,20:34:25,2024-03-15 20:34:25,2024,3,15,Friday,20,34,25
76,2024-03-16,22:59:58,2024-03-16 22:59:58,2024,3,16,Saturday,22,59,58
77,2024-03-17,02:34:28,2024-03-17 02:34:28,2024,3,17,Sunday,2,34,28
78,2024-03-18,03:23:05,2024-03-18 03:23:05,2024,3,18,Monday,3,23,5
79,2024-03-19,17:41:44,2024-03-19 17:41:44,2024,3,19,Tuesday,17,41,44
80,2024-03-20,10:51:39,2024-03-20 10:51:39,2024,3,20,Wednesday,10,51,39
81,2024-03-21,02:22:51,2024-03-21 02:22:51,2024,3,21,Thursday,2,22,51
82,2024-03-22,10:34:04,2024-03-22 10:34:04,2024,3,22,Friday,10,34,4
83,2024-03-23,14:13:34,2024-03-23 14:13:34,2024,3,23,Saturday,14,13,34
84,2024-03-24,17:00:28,2024-03-24 17:00:28,2024,3,24,Sunday,17,0,28
85,2024-03-25,13:36:24,2024-03-25 13:36:24,2024,3,25,Monday,13,36,24
86,2024-03-26,11:19:34,2024-03-26 11:19:34,2024,3,26,Tuesday,11,19,34
87,2024-03-27,00:42:48,2024-03-27 00:42:48,2024,3,27,Wednesday,0,42,48
88,2024-03-28,17:23:12,2024-03-28 17:23:12,2024,3,28,Thursday,17,23,12
89,2024-03-29,18:46:03,2024-03-29 18:46:03,2024,3,29,Friday,18,46,3
90,2024-03-30,00:44:55,2024-03-30 00:44:55,2024,3,30,Saturday,0,44,55
91,2024-03-31,13:23:10,2024-03-31 13:23:10,2024,3,31,Sunday,13,23,10
92,2024-04-01,01:27:38,2024-04-01 01:27:38,2024,4,1,Monday,1,27,38
93,2024-04-02,10:58:24,2024-04-02 10:58:24,2024,4,2,Tuesday,10,58,24
94,2024-04-03,09:12:39,2024-04-03 09:12:39,2024,4,3,Wednesday,9,12,39
95,2024-04-04,03:53:06,2024-04-04 03:53:06,2024,4,4,Thursday,3,53,6
96,2024-04-05,17:10:58,2024-04-05 17:10:58,2024,4,5,Friday,17,10,58
97,2024-04-06,03:31:06,2024-04-06 03:31:06,2024,4,6,Saturday,3,31,6
98,2024-04-07,10:44:20,2024-04-07 10:44:20,2024,4,7,Sunday,10,44,20
99,2024-04-08,00:59:21,2024-04-08 00:59:21,2024,4,8,Monday,0,59,21
100,2024-04-09,07:27:34,2024-04-09 07:27:34,2024,4,9,Tuesday,7,27,34
